pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Mitochondrial DNA depletion syndrome,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Myoadenylate deaminase deficiency,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
sphingosine and sphingosine-1-phosphate metabolism,HumanCyc,0,,9 (9),1,1,4,C01571;C06423;C01601;C00346,40 (59),0.000261,0.00657,0.00242,0.0217
acetate conversion to acetyl-CoA,HumanCyc,1,ACSS2,3 (3),0.00556,1,1,C00020,6 (6),0.0475,0.336,0.00244,0.0217
Methionine Adenosyltransferase Deficiency,SMPDB,0,,19 (20),1,1,4,C00020;C00170;C00097;C00315,41 (42),0.000288,0.00685,0.00263,0.0217
Glycine N-methyltransferase Deficiency,SMPDB,0,,19 (20),1,1,4,C00020;C00170;C00097;C00315,41 (42),0.000288,0.00685,0.00263,0.0217
Hypermethioninemia,SMPDB,0,,19 (20),1,1,4,C00020;C00170;C00097;C00315,41 (42),0.000288,0.00685,0.00263,0.0217
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMPDB,0,,19 (20),1,1,4,C00020;C00170;C00097;C00315,41 (42),0.000288,0.00685,0.00263,0.0217
Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism_ cblG complementation type,SMPDB,0,,19 (20),1,1,4,C00020;C00170;C00097;C00315,41 (42),0.000288,0.00685,0.00263,0.0217
Cystathionine Beta-Synthase Deficiency,SMPDB,0,,19 (20),1,1,4,C00020;C00170;C00097;C00315,41 (42),0.000288,0.00685,0.00263,0.0217
S-Adenosylhomocysteine (SAH) Hydrolase Deficiency,SMPDB,0,,19 (20),1,1,4,C00020;C00170;C00097;C00315,41 (42),0.000288,0.00685,0.00263,0.0217
Methionine Metabolism,SMPDB,0,,19 (20),1,1,4,C00020;C00170;C00097;C00315,41 (42),0.000288,0.00685,0.00263,0.0217
urea cycle,HumanCyc,0,,6 (7),1,1,3,C00327;C00077;C00020,17 (17),0.000301,0.00685,0.00274,0.0217
Pyruvate Carboxylase Deficiency,SMPDB,0,,5 (5),1,1,3,C00020;C00041;C00025,17 (17),0.000301,0.00685,0.00274,0.0217
Primary Hyperoxaluria Type I,SMPDB,0,,5 (5),1,1,3,C00020;C00041;C00025,17 (17),0.000301,0.00685,0.00274,0.0217
Alanine Metabolism,SMPDB,0,,5 (5),1,1,3,C00020;C00041;C00025,17 (17),0.000301,0.00685,0.00274,0.0217
Spermidine and Spermine Biosynthesis,SMPDB,0,,6 (6),1,1,3,C00077;C00170;C00315,17 (17),0.000301,0.00685,0.00274,0.0217
Lactic Acidemia,SMPDB,0,,5 (5),1,1,3,C00020;C00041;C00025,17 (17),0.000301,0.00685,0.00274,0.0217
guanosine nucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,16 (16),1,1,3,C00020;C00130;C00025,17 (17),0.000301,0.00685,0.00274,0.0217
Gastrin-CREB signalling pathway via PKC and MAPK,Reactome,0,,203 (222),1,1,4,C00077;C00116;C00047;C00025,42 (46),0.000316,0.0071,0.00287,0.0223
G alpha (q) signalling events,Reactome,0,,175 (190),1,1,4,C00077;C00116;C00047;C00025,42 (46),0.000316,0.0071,0.00287,0.0223
Transport of glucose and other sugars_ bile salts and organic acids_ metal ions and amine compounds,Wikipathways,0,,0 (0),1,1,3,C00158;C00148;C00366,29 (29),0.00151,0.0232,0.00151,0.0232
Glucose metabolism,Reactome,0,,67 (70),1,1,4,C00158;C00020;C00197;C00025,43 (43),0.000347,0.00774,0.00311,0.024
Hypusine synthesis from eIF5A-lysine,Reactome,1,EIF5A2,4 (4),0.00741,1,1,C00315,6 (6),0.0475,0.336,0.00315,0.0241
thio-molybdenum cofactor biosynthesis,HumanCyc,0,,1 (1),1,1,2,C00041;C00097,4 (6),0.000375,0.00821,0.00333,0.025
alanine biosynthesis/degradation,HumanCyc,0,,2 (2),1,1,2,C00041;C00025,4 (4),0.000375,0.00821,0.00333,0.025
Proton-coupled neutral amino acid transporters,Reactome,0,,2 (2),1,1,2,C00041;C00148,4 (4),0.000375,0.00821,0.00333,0.025
Methionine and cysteine metabolism,EHMN,0,,79 (80),1,1,5,C00020;C00041;C00245;C00097;C00025,80 (80),0.000389,0.00847,0.00344,0.0256
Vitamin B12 Metabolism,Wikipathways,0,,50 (51),1,1,4,C00031;C00097;C02477;C00791,46 (59),0.000451,0.00976,0.00392,0.029
Mercaptopurine Action Pathway,SMPDB,0,,47 (47),1,1,5,C00020;C00385;C00130;C00025;C00366,83 (83),0.000462,0.00988,0.00401,0.0294
Azathioprine Action Pathway,SMPDB,0,,47 (47),1,1,5,C00020;C00385;C00130;C00025;C00366,84 (84),0.000488,0.0103,0.00421,0.0305
Thioguanine Action Pathway,SMPDB,0,,47 (47),1,1,5,C00020;C00385;C00130;C00025;C00366,84 (84),0.000488,0.0103,0.00421,0.0305
Mitochondrial Iron-Sulfur Cluster Biogenesis,Wikipathways,0,,0 (0),1,1,2,C00041;C00097,9 (12),0.00219,0.0312,0.00219,0.0312
Selenium Micronutrient Network,Wikipathways,0,,76 (83),1,1,5,C00385;C00031;C02477;C00097;C00366,85 (104),0.000516,0.0108,0.00442,0.0313
2-Hydroxyglutric Aciduria (D And L Form),SMPDB,0,,22 (23),1,1,4,C00020;C00041;C00025;C00097,48 (48),0.000531,0.0108,0.00454,0.0313
Homocarnosinosis,SMPDB,0,,22 (23),1,1,4,C00020;C00041;C00025;C00097,48 (48),0.000531,0.0108,0.00454,0.0313
Succinic semialdehyde dehydrogenase deficiency,SMPDB,0,,22 (23),1,1,4,C00020;C00041;C00025;C00097,48 (48),0.000531,0.0108,0.00454,0.0313
4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,SMPDB,0,,22 (23),1,1,4,C00020;C00041;C00025;C00097,48 (48),0.000531,0.0108,0.00454,0.0313
Glutamate Metabolism,SMPDB,0,,22 (23),1,1,4,C00020;C00041;C00025;C00097,48 (48),0.000531,0.0108,0.00454,0.0313
Hyperinsulinism-Hyperammonemia Syndrome,SMPDB,0,,22 (23),1,1,4,C00020;C00041;C00025;C00097,48 (48),0.000531,0.0108,0.00454,0.0313
Vitamin E metabolism,EHMN,0,,43 (43),1,1,3,C00020;C00047;C02477,21 (21),0.000576,0.0116,0.00487,0.0334
NAD Biosynthesis II (from tryptophan),Wikipathways,0,,8 (8),1,1,3,C00020;C00041;C00025,22 (23),0.000663,0.0121,0.00552,0.0336
Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Metabolism of vitamins and cofactors,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective GIF causes intrinsic factor deficiency,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective AMN causes hereditary megaloblastic anemia 1,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective MMAB causes methylmalonic aciduria type cblB,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective MMAA causes methylmalonic aciduria type cblA,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defects in vitamin and cofactor metabolism,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective MUT causes methylmalonic aciduria mut type,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Metabolism of water-soluble vitamins and cofactors,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective TCN2 causes hereditary megaloblastic anemia,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective CD320 causes methylmalonic aciduria,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defects in cobalamin (B12) metabolism,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective HLCS causes multiple carboxylase deficiency,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective BTD causes biotidinase deficiency,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defects in biotin (Btn) metabolism,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective CUBN causes hereditary megaloblastic anemia 1,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective MTR causes methylmalonic aciduria and homocystinuria type cblG,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD,Reactome,0,,83 (88),1,1,5,C00020;C00041;C00025;C00097;C00047,90 (101),0.000672,0.0121,0.00558,0.0336
D-Glutamine and D-glutamate metabolism - Homo sapiens (human),KEGG,1,GLS,4 (4),0.00741,1,1,C00025,12 (12),0.0927,0.469,0.00569,0.034
Sulfur amino acid metabolism,Reactome,0,,23 (25),1,1,4,C00097;C00025;C00170;C00245,52 (59),0.000723,0.0129,0.00595,0.0354
Antigen Presentation: Folding_ assembly and peptide loading of class I MHC,Reactome,2,SEC24C;SEC13,23 (24),0.000809,0.79,0,,7 (7),1,1,0.00657,0.0389
Purine metabolism,EHMN,0,,220 (228),1,1,5,C00385;C00020;C00130;C00025;C00366,94 (94),0.00082,0.0145,0.00665,0.0391
Gastrin-CREB signalling pathway via PKC and MAPK,Wikipathways,0,,0 (0),1,1,3,C00077;C00047;C00025,36 (40),0.00285,0.0393,0.00285,0.0393
Glycolysis,Reactome,0,,28 (29),1,1,3,C00158;C00020;C00197,24 (24),0.000862,0.0151,0.00694,0.0399
NAD <i>de novo</i> biosynthesis,HumanCyc,0,,12 (15),1,1,3,C00020;C00041;C00025,24 (24),0.000862,0.0151,0.00694,0.0399
3-Phosphoglycerate dehydrogenase deficiency,SMPDB,0,,26 (27),1,1,4,C00020;C00041;C00025;C00097,55 (55),0.000895,0.0151,0.00718,0.0399
Non Ketotic Hyperglycinemia,SMPDB,0,,26 (27),1,1,4,C00020;C00041;C00025;C00097,55 (55),0.000895,0.0151,0.00718,0.0399
Glycine and Serine Metabolism,SMPDB,0,,26 (27),1,1,4,C00020;C00041;C00025;C00097,55 (55),0.000895,0.0151,0.00718,0.0399
Dimethylglycinuria,SMPDB,0,,26 (27),1,1,4,C00020;C00041;C00025;C00097,55 (55),0.000895,0.0151,0.00718,0.0399
Hyperglycinemia_ non-ketotic,SMPDB,0,,26 (27),1,1,4,C00020;C00041;C00025;C00097,55 (55),0.000895,0.0151,0.00718,0.0399
Dimethylglycine Dehydrogenase Deficiency,SMPDB,0,,26 (27),1,1,4,C00020;C00041;C00025;C00097,55 (55),0.000895,0.0151,0.00718,0.0399
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMPDB,0,,26 (27),1,1,4,C00020;C00041;C00025;C00097,55 (55),0.000895,0.0151,0.00718,0.0399
Sarcosinemia,SMPDB,0,,26 (27),1,1,4,C00020;C00041;C00025;C00097,55 (55),0.000895,0.0151,0.00718,0.0399
Glycolysis and Gluconeogenesis,EHMN,1,PGK2,68 (70),0.119,1,3,C00158;C00020;C00197,52 (52),0.00807,0.0921,0.00764,0.0423
Folate-Alcohol and Cancer Pathway,Wikipathways,1,ADH5,8 (8),0.0148,1,1,C00097,9 (10),0.0703,0.401,0.00817,0.045
Metabolism of carbohydrates,Reactome,0,,256 (261),1,1,5,C00158;C00020;C00197;C01835;C00025,100 (120),0.00109,0.0177,0.0085,0.0454
Myoclonic epilepsy of Lafora,Reactome,0,,256 (261),1,1,5,C00158;C00020;C00197;C01835;C00025,100 (120),0.00109,0.0177,0.0085,0.0454
Glycogen storage diseases,Reactome,0,,256 (261),1,1,5,C00158;C00020;C00197;C01835;C00025,100 (120),0.00109,0.0177,0.0085,0.0454
superpathway of tryptophan utilization,HumanCyc,0,,43 (47),1,1,4,C00020;C00041;C00025;C00097,58 (70),0.00109,0.0177,0.00856,0.0454
Beta-mercaptolactate-cysteine disulfiduria,SMPDB,0,,9 (9),1,1,3,C00020;C00025;C00097,26 (26),0.0011,0.0177,0.00856,0.0454
Cysteine Metabolism,SMPDB,0,,9 (9),1,1,3,C00020;C00025;C00097,26 (26),0.0011,0.0177,0.00856,0.0454
Cystinosis_ ocular nonnephropathic,SMPDB,0,,9 (9),1,1,3,C00020;C00025;C00097,26 (26),0.0011,0.0177,0.00856,0.0454
ethanol degradation IV,HumanCyc,1,ACSS2,6 (6),0.0111,1,1,C00020,13 (13),0.1,0.491,0.00866,0.0457
fatty acid &beta;-oxidation,HumanCyc,0,,19 (20),1,1,4,C00020;C01571;C06423;C01601,60 (85),0.00124,0.0199,0.00957,0.0503
Synthesis of diphthamide-EEF2,Reactome,0,,8 (8),1,1,2,C00020;C00170,7 (7),0.00129,0.0204,0.00988,0.0511
spermidine biosynthesis,HumanCyc,0,,2 (2),1,1,2,C00170;C00315,7 (7),0.00129,0.0204,0.00988,0.0511
spermine biosynthesis,HumanCyc,0,,2 (2),1,1,2,C00170;C00315,7 (7),0.00129,0.0204,0.00988,0.0511
fatty acid &beta;-oxidation (peroxisome),HumanCyc,0,,19 (20),1,1,4,C00020;C01571;C06423;C01601,61 (85),0.00132,0.0208,0.0101,0.052
ethanol degradation II,HumanCyc,1,ACSS2,8 (8),0.0148,1,1,C00020,12 (12),0.0927,0.469,0.0104,0.0532
GPCR downstream signaling,Reactome,0,,930 (986),1,1,5,C00077;C00020;C00116;C00025;C00047,107 (126),0.00147,0.023,0.0111,0.0565
oxidative ethanol degradation III,HumanCyc,1,ACSS2,7 (7),0.0129,1,1,C00020,15 (15),0.115,0.54,0.0111,0.0565
acyl-CoA hydrolysis,HumanCyc,0,,3 (3),1,1,3,C01571;C06423;C01601,29 (39),0.00151,0.0232,0.0113,0.0567
Mineral absorption - Homo sapiens (human),KEGG,0,,50 (51),1,1,3,C00148;C00031;C00041,29 (29),0.00151,0.0232,0.0113,0.0567
Ammonia Recycling,SMPDB,0,,12 (12),1,1,3,C00020;C00025;C00135,29 (29),0.00151,0.0232,0.0113,0.0567
superpathway of purine nucleotide salvage,HumanCyc,0,,59 (61),1,1,3,C00020;C00130;C00025,30 (30),0.00167,0.0254,0.0124,0.0613
Metabolism of polyamines,Reactome,0,,14 (14),1,1,3,C00077;C00170;C00315,30 (34),0.00167,0.0254,0.0124,0.0613
Conjugation of benzoate with glycine,Reactome,0,,5 (6),1,1,2,C00020;C00180,8 (8),0.00171,0.0256,0.0126,0.0614
lipoate biosynthesis and incorporation,HumanCyc,0,,3 (3),1,1,2,C00020;C06423,8 (8),0.00171,0.0256,0.0126,0.0614
L-cysteine degradation II,HumanCyc,0,,2 (2),1,1,2,C00025;C00097,8 (8),0.00171,0.0256,0.0126,0.0614
Biotin transport and metabolism,Reactome,0,,11 (11),1,1,2,C00020;C00047,8 (8),0.00171,0.0256,0.0126,0.0614
Glutamate Neurotransmitter Release Cycle,Reactome,1,GLS,20 (21),0.0365,1,1,C00025,6 (6),0.0475,0.336,0.0127,0.0617
Ethanol Degradation,SMPDB,1,ACSS2,7 (7),0.0129,1,1,C00020,18 (18),0.136,0.616,0.0129,0.0621
Membrane Trafficking,Reactome,2,SEC24C;SEC13,153 (162),0.0322,1,1,C00020,7 (7),0.0551,0.361,0.013,0.0624
beta-Alanine metabolism - Homo sapiens (human),KEGG,0,,30 (30),1,1,3,C00106;C00135;C00315,31 (31),0.00184,0.0274,0.0134,0.0638
Ethanol oxidation,Reactome,1,ACSS2,10 (10),0.0184,1,1,C00020,13 (13),0.1,0.491,0.0134,0.0638
Transport to the Golgi and subsequent modification,Reactome,2,SEC24C;SEC13,36 (37),0.00199,1,0,,23 (24),1,1,0.0143,0.0678
sphingomyelin metabolism/ceramide salvage,HumanCyc,0,,8 (8),1,1,3,C01571;C06423;C01601,32 (55),0.00202,0.03,0.0146,0.0685
glutathione biosynthesis,HumanCyc,0,,3 (4),1,1,2,C00025;C00097,9 (9),0.00219,0.0312,0.0156,0.0708
L-glutamine tRNA biosynthesis,HumanCyc,0,,2 (2),1,1,2,C00020;C00025,9 (9),0.00219,0.0312,0.0156,0.0708
diphthamide biosynthesis,HumanCyc,0,,2 (2),1,1,2,C00020;C00170,9 (9),0.00219,0.0312,0.0156,0.0708
proline degradation,HumanCyc,0,,2 (2),1,1,2,C00148;C00025,9 (10),0.00219,0.0312,0.0156,0.0708
Carnosinuria_ carnosinemia,SMPDB,0,,9 (9),1,1,3,C00106;C00025;C00135,33 (34),0.00221,0.0312,0.0157,0.0708
Ureidopropionase deficiency,SMPDB,0,,9 (9),1,1,3,C00106;C00025;C00135,33 (34),0.00221,0.0312,0.0157,0.0708
GABA-Transaminase Deficiency,SMPDB,0,,9 (9),1,1,3,C00106;C00025;C00135,33 (34),0.00221,0.0312,0.0157,0.0708
Organic cation/anion/zwitterion transport,Reactome,0,,13 (13),1,1,3,C00315;C00366;C00791,33 (36),0.00221,0.0312,0.0157,0.0708
Beta-Alanine Metabolism,SMPDB,0,,9 (9),1,1,3,C00106;C00025;C00135,33 (34),0.00221,0.0312,0.0157,0.0708
phospholipases,HumanCyc,0,,41 (42),1,1,3,C01571;C06423;C01601,33 (55),0.00221,0.0312,0.0157,0.0708
superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle,HumanCyc,1,PGK2,48 (52),0.0855,1,2,C00158;C00197,34 (36),0.0301,0.26,0.0179,0.0804
Pentose phosphate pathway - Homo sapiens (human),KEGG,0,,28 (28),1,1,3,C00031;C00197;C00257,35 (35),0.00262,0.0369,0.0182,0.0813
Sulfur relay system - Homo sapiens (human),KEGG,0,,10 (10),1,1,2,C00041;C00097,10 (10),0.00273,0.0377,0.0188,0.0826
Proline catabolism,Reactome,0,,2 (2),1,1,2,C00148;C00025,10 (10),0.00273,0.0377,0.0188,0.0826
L-cysteine degradation I,HumanCyc,0,,2 (2),1,1,2,C00025;C00097,10 (10),0.00273,0.0377,0.0188,0.0826
actions of nitric oxide in the heart,BioCarta,0,,41 (43),1,1,2,C00327;C00020,10 (10),0.00273,0.0377,0.0188,0.0826
Cori Cycle,Wikipathways,1,PGK2,15 (15),0.0275,1,1,C00031,13 (15),0.1,0.491,0.019,0.0829
Triglyceride Biosynthesis,Reactome,0,,43 (45),1,1,3,C00158;C00020;C00116,37 (40),0.00308,0.0422,0.0209,0.0905
Purine ribonucleoside monophosphate biosynthesis,Reactome,0,,11 (12),1,1,3,C00020;C00130;C00025,37 (37),0.00308,0.0422,0.0209,0.0905
Abacavir transport and metabolism,Wikipathways,0,,0 (0),1,1,2,C00020;C00130,17 (24),0.00795,0.0916,0.00795,0.0916
leucine degradation,HumanCyc,1,IVD,12 (12),0.0221,1,1,C00025,20 (20),0.15,0.653,0.0222,0.092
DNA Repair,Reactome,1,XRCC6,117 (120),0.196,1,2,C00020;C00106,25 (32),0.0169,0.169,0.0222,0.092
serine biosynthesis (phosphorylated route),HumanCyc,0,,4 (4),1,1,2,C00197;C00025,11 (11),0.00332,0.0438,0.0222,0.092
asparagine biosynthesis,HumanCyc,0,,3 (3),1,1,2,C00020;C00025,11 (11),0.00332,0.0438,0.0222,0.092
taurine biosynthesis,HumanCyc,0,,3 (3),1,1,2,C00245;C00097,11 (11),0.00332,0.0438,0.0222,0.092
Phosphate bond hydrolysis by NUDT proteins,Reactome,0,,6 (6),1,1,2,C00020;C00130,11 (22),0.00332,0.0438,0.0222,0.092
Sphingolipid Metabolism,SMPDB,0,,22 (22),1,1,3,C00031;C00836;C00346,38 (39),0.00333,0.0438,0.0223,0.092
Gaucher Disease,SMPDB,0,,22 (22),1,1,3,C00031;C00836;C00346,38 (39),0.00333,0.0438,0.0223,0.092
Globoid Cell Leukodystrophy,SMPDB,0,,22 (22),1,1,3,C00031;C00836;C00346,38 (39),0.00333,0.0438,0.0223,0.092
Metachromatic Leukodystrophy (MLD),SMPDB,0,,22 (22),1,1,3,C00031;C00836;C00346,38 (39),0.00333,0.0438,0.0223,0.092
Fabry disease,SMPDB,0,,22 (22),1,1,3,C00031;C00836;C00346,38 (39),0.00333,0.0438,0.0223,0.092
Krabbe disease,SMPDB,0,,22 (22),1,1,3,C00031;C00836;C00346,38 (39),0.00333,0.0438,0.0223,0.092
Transport of Glycerol from Adipocytes to the Liver by Aquaporins,Wikipathways,0,,0 (0),1,1,1,C00116,1 (1),0.00806,0.0921,0.00806,0.0921
Histidine Metabolism,SMPDB,0,,15 (15),1,1,3,C00020;C00025;C00135,39 (40),0.00358,0.0467,0.0238,0.0969
Histidinemia,SMPDB,0,,15 (15),1,1,3,C00020;C00025;C00135,39 (40),0.00358,0.0467,0.0238,0.0969
the visual cycle I (vertebrates),HumanCyc,0,,17 (18),1,1,3,C01571;C06423;C01601,39 (58),0.00358,0.0467,0.0238,0.0969
Glycerophospholipid Biosynthetic Pathway,Wikipathways,0,,0 (0),1,1,2,C00116;C00346,18 (25),0.0089,0.0984,0.0089,0.0984
formaldehyde oxidation,HumanCyc,1,ADH5,2 (2),0.00371,1,0,,11 (11),1,1,0.0245,0.0993
purine nucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,59 (62),1,1,3,C00020;C00130;C00025,40 (40),0.00385,0.05,0.0253,0.102
Alpha9 beta1 integrin signaling events,PID,0,,24 (26),1,1,2,C00327;C00315,12 (13),0.00396,0.0504,0.0259,0.102
guanosine nucleotides degradation,HumanCyc,0,,4 (4),1,1,2,C00385;C00366,12 (12),0.00396,0.0504,0.0259,0.102
Taurine and Hypotaurine Metabolism,SMPDB,0,,5 (5),1,1,2,C00245;C00097,12 (12),0.00396,0.0504,0.0259,0.102
chrebp regulation by carbohydrates and camp,BioCarta,0,,40 (42),1,1,2,C00020;C00031,12 (12),0.00396,0.0504,0.0259,0.102
adenosine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,38 (40),1,1,2,C00020;C00130,12 (12),0.00396,0.0504,0.0259,0.102
Signaling by GPCR,Reactome,0,,1046 (1108),1,1,5,C00077;C00020;C00116;C00025;C00047,134 (153),0.00396,0.0504,0.0259,0.102
Valproic Acid Metabolism Pathway,SMPDB,1,IVD,11 (11),0.0202,1,1,C00020,29 (29),0.21,0.847,0.0275,0.108
Signal Transduction,Reactome,0,,1966 (2077),1,1,6,C00077;C00116;C00020;C00025;C00327;C00047,198 (231),0.0044,0.0558,0.0283,0.111
Class C/3 (Metabotropic glutamate/pheromone receptors),Reactome,0,,36 (41),1,1,3,C00077;C00047;C00025,42 (54),0.00443,0.0559,0.0284,0.111
Stimuli-sensing channels,Reactome,0,,94 (102),1,1,2,C00020;C00366,13 (14),0.00465,0.0577,0.0296,0.114
Non-homologous end-joining - Homo sapiens (human),KEGG,1,XRCC6,13 (13),0.0239,1,0,,0 (0),1,1,0.0239,1
coenzyme A biosynthesis,HumanCyc,0,,7 (7),1,1,2,C00020;C00097,13 (13),0.00465,0.0577,0.0296,0.114
Coenzyme A biosynthesis,Reactome,0,,8 (9),1,1,2,C00020;C00097,13 (13),0.00465,0.0577,0.0296,0.114
Serine biosynthesis,Reactome,0,,3 (3),1,1,2,C00197;C00025,13 (13),0.00465,0.0577,0.0296,0.114
MHC class II antigen presentation,Reactome,2,SEC24C;SEC13,59 (65),0.00526,1,0,,3 (3),1,1,0.0329,0.124
Histidine metabolism,EHMN,0,,35 (36),1,1,3,C00020;C00025;C00135,45 (45),0.00539,0.0652,0.0335,0.124
Taste transduction - Homo sapiens (human),KEGG,0,,49 (53),1,1,2,C00130;C00025,13 (13),0.00465,0.0577,0.0296,0.114
Conjugation of carboxylic acids,Reactome,0,,8 (9),1,1,2,C00020;C00180,14 (15),0.0054,0.0652,0.0336,0.124
Amino Acid conjugation,Reactome,0,,8 (9),1,1,2,C00020;C00180,14 (15),0.0054,0.0652,0.0336,0.124
citrulline-nitric oxide cycle,HumanCyc,0,,5 (5),1,1,2,C00327;C00020,14 (14),0.0054,0.0652,0.0336,0.124
proline biosynthesis,HumanCyc,0,,4 (4),1,1,2,C00148;C00025,14 (14),0.0054,0.0652,0.0336,0.124
Histidine catabolism,Reactome,0,,5 (5),1,1,2,C00025;C00135,14 (14),0.0054,0.0652,0.0336,0.124
histidine degradation,HumanCyc,0,,6 (6),1,1,2,C00025;C00135,14 (14),0.0054,0.0652,0.0336,0.124
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,HumanCyc,0,,5 (6),1,1,2,C00020;C00025,14 (14),0.0054,0.0652,0.0336,0.124
Disulfiram Action Pathway,SMPDB,1,ACSS2,25 (25),0.0454,1,2,C00020;C00025,75 (77),0.122,0.566,0.0343,0.126
Proximal tubule bicarbonate reclamation - Homo sapiens (human),KEGG,1,GLS,23 (23),0.0419,1,1,C00025,17 (17),0.129,0.59,0.0336,0.124
The citric acid (TCA) cycle and respiratory electron transport,Reactome,0,,147 (156),1,1,3,C00158;C00020;C00989,47 (49),0.00609,0.0729,0.0371,0.136
Bile salt and organic anion SLC transporters,Reactome,0,,13 (14),1,1,2,C00158;C00791,15 (17),0.0062,0.0731,0.0377,0.136
Creatine metabolism,Reactome,0,,11 (11),1,1,2,C00077;C00791,15 (15),0.0062,0.0731,0.0377,0.136
ornithine <i>de novo </i> biosynthesis,HumanCyc,0,,5 (5),1,1,2,C00077;C00025,15 (15),0.0062,0.0731,0.0377,0.136
Vitamin B5 (pantothenate) metabolism,Reactome,0,,12 (13),1,1,2,C00020;C00097,15 (15),0.0062,0.0731,0.0377,0.136
Peptide hormone metabolism,Reactome,0,,49 (50),1,1,2,C01571;C06423,15 (16),0.0062,0.0731,0.0377,0.136
glycolysis,HumanCyc,1,PGK2,25 (26),0.0454,1,1,C00197,19 (20),0.143,0.636,0.0392,0.14
Phosphatidylinositol phosphate metabolism,EHMN,0,,92 (95),1,1,3,C00116;C03546;C00346,49 (49),0.00684,0.0804,0.0409,0.146
Abacavir metabolism,Reactome,0,,5 (5),1,1,2,C00020;C00130,16 (23),0.00705,0.0823,0.042,0.149
lysine degradation I (saccharopine pathway),HumanCyc,0,,4 (4),1,1,2,C00025;C00047,16 (16),0.00705,0.0823,0.042,0.149
Valine_ leucine and isoleucine degradation,EHMN,1,IVD,49 (49),0.0872,1,2,C00020;C00025,62 (62),0.0884,0.466,0.0452,0.16
