"","ID","description","type","healthy.mean.....std.dev","sick.mean.....std.dev","mean.sick_mean.healthy","group_p.values","group_adjusted.p.values","group_q.values"
"184","WDR33","WD repeat domain 33","protein","0 +/- 0","297000 +/- 1500000",Inf,0.321941348172834,0.495919508083587,0.235437415083026
"185","CPA6","carboxypeptidase A6","protein","3310000 +/- 1.4e+07","2220000 +/- 1.2e+07",0.67,0.760472260059229,0.831117224108447,0.40978011063697
"186","WDR82","WD repeat domain 82","protein","317000 +/- 1200000","1410000 +/- 3600000",4.45,0.140038375407462,0.30099559436685,0.141729764384562
"187","IGFN1","immunoglobulin-like and fibronectin type III domain containing 1","protein","231000 +/- 850000","110000 +/- 460000",0.47,0.517772301943548,0.643647776650811,0.320978527583109
"188","MEMO1","mediator of cell motility 1","protein","186000 +/- 950000","1900000 +/- 5e+06",10.24,0.0870740656603324,0.217685164150831,0.103890465007097
"189","HRSP12","heat-responsive protein 12","protein","33400 +/- 170000","1040000 +/- 4100000",31.2,0.205620752278862,0.391658575769262,0.180762004992734
"190","NT5DC1","5'-nucleotidase domain containing 1","protein","280000 +/- 810000","3240000 +/- 8e+06",11.55,0.0628775387710606,0.174659829919613,0.0833565806801436
"191","TRIM21","tripartite motif containing 21","protein","129000 +/- 670000","4e+06 +/- 2e+07",30.99,0.308827237385239,0.495919508083587,0.230029273261299
"192","PTPRK","protein tyrosine phosphatase, receptor type, K","protein","701000 +/- 3e+06","162000 +/- 680000",0.23,0.36553148555418,0.530650693259926,0.252080934181609
"193","KDM3B","lysine (K)-specific demethylase 3B","protein","1420000 +/- 7200000","148000 +/- 440000",0.1,0.365428424559181,0.530650693259926,0.252043821164736
"194","BNIP1","BCL2/adenovirus E1B 19kDa interacting protein 1","protein","108000 +/- 560000","177000 +/- 920000",1.64,0.739341569549298,0.81695201055171,0.402982310572385
"195","PCLO","piccolo presynaptic cytomatrix protein","protein","742000 +/- 2800000","235000 +/- 710000",0.32,0.367711772521732,0.530650693259926,0.25286373427761
"196","F13B","coagulation factor XIII, B polypeptide","protein","25300 +/- 130000","0 +/- 0",0,0.321941348172834,0.495919508083587,0.235437415083026
"197","ANKRD28","ankyrin repeat domain 28","protein","48800 +/- 190000","462000 +/- 950000",9.46,0.031989677210485,0.120715763058434,0.0564886159975311
"198","MATN3","matrilin 3","protein","0 +/- 0","23900 +/- 120000",Inf,0.321941348172835,0.495919508083587,0.235437415083026
"199","USP34","ubiquitin specific peptidase 34","protein","2980000 +/- 9300000","149000 +/- 770000",0.05,0.122564845706434,0.272366323792075,0.129685739762852
"200","DCAF7","DDB1 and CUL4 associated factor 7","protein","599000 +/- 3e+06","1320000 +/- 2800000",2.21,0.36265855374751,0.530650693259926,0.251042609848482
